IPAddress,RecordedDate,ResponseId,UUID,strategy,gray,default,strategy_default,kindlmann,jet,strategy_jet,hawaii,sex,age,native_english,cb_1,cb_2
155.97.94.70,2/9/17 13:20,R_zdPL1FdLo6vUJDX,ba11acb4-0a49-4994-8ea6-bde0f4ddf7cd,Yes,I associated boundary as balck and white. Anything grey in between is not counted in my decisions because it's hard o distinguish the shades.,"I set the boundaries based on each individually bright colors. In my eyes, it's as if the lines between each color pops up in itself so it's easier to set the color boundaries.",IM_dmqzlZWGwVQwPzv,"I set it as white, yellow, green, blue and the rest. Again, it seems as if there's a line that pops out between each color from how distinct they are from each other.","I found a little more difficulty trying to do this one because at some point the color almost blend with one another and it's hard to determine where one color start and another end. But I see it based on the tone. Dark blue, light blue, green, yellow, orange, red and deep red. ",IM_0wDHFgSj2HjEFSZ,No,Female,20,No,42,5
155.97.94.70,2/9/17 13:47,R_1DAmo19Ge1vKljX,85632aea-afb6-405c-87de-1dcaefa9f6b9,Yes,"Mine was pretty simple, just focusing on lightest, to light, gray, dark, darker. None of my decisions were that specific in nature.","With the color, I made decisions on more of the variety of colors. It was easier to see the differences with color, there's a lot more variety.",IM_dmqzlZWGwVQwPzv,"With these types of image, I used basic color categories. My eyes can't seem to pick out the more variety of colors in these images.","I noticed a lot of detail in the color boundaries of these one, I could see more colors.",IM_0wDHFgSj2HjEFSZ,Yes,Male,21,Yes,42,5
155.97.94.143,2/10/17 10:27,R_2dgaSIctasEvl28,1f5b2b66-aa4c-48b3-9cea-7b1490bcd126,Yes,I distinguished every time the shade got noticeably lighter,"I distinguished the different colors, but just marked every spot there looked to be change, sometimes it was clearer than others",IM_8plD4oKUVFqX2Yd,"I started with black, and noticed any change turning to blue, and continued as it changed from color to color","Started with the dark blue, and distinguished lines between the blues until I got to cyan, and so on",IM_3NJMdI7ddeKcH9H,No,Male,21,Yes,42,5
155.97.94.143,2/10/17 10:58,R_2xIT1t7AXB1zK2w,6fac6fc3-e234-4b37-b5ef-1129998b7ffd,Yes,With a I was thinking of Mach Bands when looking at the image and it seemed like I would try to get as much differences as possible even though it didn't have a hard line that was easy to see. For B I estimated the grey scale and focused a lot more on the picture by trying to let my eyes take time to absorb the light that is reflecting off of the picture to make my judgement. For C it was more simple because it looked like it had a form and shape that is associated so i took an easier approach and didn't look too much into it when deciding the boarders.,For A it was kind of similar to the mach bands but it had color. since it had color it seemed like it would be easier but it wasn't. I thought that maybe if I look at them like the bands I might have gotten something else. However I don't think that was the case. Instead I was perceiving only the colors because we can only see from a small wavelength of light. And that would go the same with B and C. For those images i was also just focusing on the colors again and nothing too much with hues and shades of the color. Most of the color was pretty solid and i couldn't tell if the borders were distinct enough to make a call that would divide them up even more.,IM_dmqzlZWGwVQwPzv,For the set of picture that were presented the colors were more harsh and more easier on the eyes to focus a bit more rather than having the brighter hues. So for A and B it was easier to distinguish the boarders since the colors that were being presented didn't mix too we next the the rainbow pattern like in the previous set of pictures. For C it would have been the same reasoning except it the shape is oblong and looked like a spooky ghost.  ,"For this set of pictures the colors were associated with the basic blue, cyan, green, lime, yellow, orange, and red. That I was able to see. I wasn't thinking as much because was able to distinctly see some of the boarders because the colors were much more variety and didn't seem like it was clumped up together. They were just easier to see in because they had more colors that were able to be distinguished. ",IM_3NJMdI7ddeKcH9H,No,Male,21,Yes,42,5
155.97.94.143,2/13/17 14:33,R_1rel39ecVrTR8fH,9f991ecf-68ee-468d-aa5b-5e0bac899520,No,I set the boundaries depending on how dark the color was. ,If I could notice a distinct color that was different from any color on the left or the right of it then I set a boundary ,IM_8plD4oKUVFqX2Yd,If I could find a distinct color that wasn't on the left or the right of a color then I would set a boundary for it,If I could notice a distinct color that didn't match any colors on the left or the right of it then I would set a boundary. ,IM_3NJMdI7ddeKcH9H,Yes,Female,19,Yes,42,5
155.97.94.143,2/15/17 14:32,R_xsc47pUJWeFuUU1,b3e0516c-dbee-4639-8745-edc739e29ca9,No,"In image A, it was more dificult to identitify the color boundaries because they gradually flowed into another so I was able to identify it as white, light grey, middle grey, dark grey, and black. In image B, I also identified it as black, dark grey, grey, middle grey, light grey, and white. Image C was the easiest to identify boundaries. I noticed black, very dark grey, dark grey, grey, light grey, lighter grey, and white.","Image A, I identified the boundaries as red, orange, yellow, green, cyan, light blue, and dark blue. Image B, I identified dark blue, light blue, cyan, green, yellow, orange, and red. Image C, I identified Dark blue, light blue, blue grey, cyan, green, yellow, orange, and red.",IM_8plD4oKUVFqX2Yd,"In image A, I identified the boundaries as white, light pink, yellow, green, blue, dark blue, and violet. Image B, I identified dark violet, light violet, blue, green, yellow, pink, and white. Image C, I identitified violet, dark blue, blue, blue grey, green, yellow, pink, and white.","Image A, I identified dark red, red, orange, yellow, green, cyan, light blue, blue, and dark blue. Image B, I identified dark blue, blue, light blue, cyan, green, yellow, orange, red, and dark red. In image C, I identified dakr blue, blue, light blue, cyan, green, yellow, orange, red, and, dark red.",IM_3NJMdI7ddeKcH9H,No,Female,18,Yes,42,5
155.97.94.143,2/16/17 14:21,R_2VP8xMvt4SCPb0A,873c0095-6691-42df-b8e6-5a49d427dac7,Yes,"light vs. dark, different shades looks like there are actual physical separations","blue, lights blue, teal, green, yellow, orange red, dark red",IM_8plD4oKUVFqX2Yd,"black, dark purple blue, green, yellow, peach, white","dark blue, brighter blue, light blue, bright teal, lime green, green yellow, bright yellow, orange, bright red, dark red",IM_3NJMdI7ddeKcH9H,Yes,Female,20,Yes,42,5
155.97.94.143,2/27/17 12:15,R_3nGAV6hzqT4ahvi,9a210838-5865-4ce1-81d1-afb0ff5629d3,Yes,I marked where there was an obvious change in shade of the gray.,"Wherever there was a recognizable shift in color or a point at which the color clearly went from red to orange for example, I put a marker.",IM_8plD4oKUVFqX2Yd,"Wherever it went from less of one color to more of another, for example where the ratio of blue tint to green became overpowered by blue, I put a marker.",I put markers where I saw a clear shift in color.,IM_3NJMdI7ddeKcH9H,Yes,Male,21,Yes,42,5
155.97.94.70,2/28/17 14:12,R_SVNXCvtwlfWZ8JP,47446275-c491-44db-9b55-c3759d661224,Yes,I made the boundaries where the color differed between all the colors. ,"The categories are blue, light blue, light green, yello, and red. ",IM_dmqzlZWGwVQwPzv,"The basic colors are blue, green, yellow, and red. ","I saw approximately 5 different colors blue, green, yellow, and red. ",IM_3NJMdI7ddeKcH9H,No,Female,19,No,42,5
155.97.94.70,2/28/17 15:31,R_x6js1i0PnQnjXQR,1fd70f95-9e03-4dc1-bccd-14814d52a54f,Yes,"I distingushed color boundaries from one another based on the general pattern of the colors, for example my interpretation of vertical color boundaries are different from the far picture. Specifically, I looked for where I could see two distinct colors next two one another. There I would mark a boundary on the verically oriented changes. On the contrary, for image C I was more clearly able to see a change of ""elevation"" so to speak. Rather than a more vague change in boundaries as presented in pictures A and B, picture C was easiest to distinguish. My general tactic was to start at the brightest locations of the picture, and radiate out from there. This helped me organize how I would choose a boundary fro the different syles of images. Often times I was able to see 'grey' areas where there were perhaps more boundaries than I marked, but weren't as clearly distinguished for a boundary. ","The colored images had boundaries that were more clearly distinguished than the black and white images. In general, this led me to percieving less boundaries. In general, started at the red area and moved outward from there. I used both the general pattern of color sequence: red, orange, yellow... In addition I marked boundaries where a unique color was defined by the blurring of adjescent colors. In the case of image C, I could distinguish levels of color very easily in contrast to A where there are more blended colors.",IM_8plD4oKUVFqX2Yd,"I could see the general blue, green and yellow colors, in addition I also percieved to see many blended colors where I marked borders. These were seen in picture A where there is a cream color between white and yellow. I moved farther left and it was apparent the color had changed to a more destinct yellow, then green and so on. Any region where I could accurately define a uniqe color I marked with boundaries. Image C was consistent with my interpretation for colored as well as black and white. The perceived changes in altitude signified by lighter colors at the top and darker colors on the peripheri allowed me to easily define many boundaries where there are small shifts. Also because there are many turns and edges im picture C, it was more easily to find unique boundaries where colors turned sharped on themselves.","The vibrancy of the above images provides more boundaries between colors. In comparison to the black and white sphere, these images are brighter and more boundaries can be seen. I used the same general tactic and decision making process to determine boundary lines. I found my self finding different numbers of boundaries when counting versus placing th boundaries. The difference made my decision making process alter slightly from slecting boundaries more rapidly to slowing down and trying to more closely analyze the images. ",IM_3NJMdI7ddeKcH9H,Yes,Male,20,Yes,42,5
155.97.94.143,3/1/17 16:47,R_sFroszEGpMvBBE5,951cbe28-5380-4b9a-b517-12dee9098ead,Yes,"Even though all three of the images have the same shades of colors I said they had different color boundaries. Black, dark gray, gray, and then more of a white color.","In A, it was less clear for me where the color boundary was between the light blue and dark blue. From the blue to green, green to yellow, and then orange to red it was more clear. In B and C, it seemed much more clear to me where the boundary is. Dark blue to the start of the light blue, then green, then orange, and then red.",IM_8plD4oKUVFqX2Yd,"I specialized the categories from that dark purplish/black color to the start of the blue, then green, then yellow, and then the last brightish white color.","This one was more difficult. Dark blue was first, then the light blue up to the green and then the yellow up to the redish/orange.",IM_0wDHFgSj2HjEFSZ,No,Female,18,Yes,42,5
155.97.94.143,3/2/17 11:36,R_33dSyChXimmD4WG,205128a4-e95c-47e0-99b2-c59a025799b1,No,"Image A seemed to be a smoother transition from dark to light. With image B, the boundaries of color between light and dark were harder to distinguish as I looked closer toward to center. Image C seemed to provide the best difference between light and dark as the color boundaries seemed to be much more apparent.","The color boundaries in image A were very similar to those in image B in that the colors seemed to fade into one another. Image C seemed to have a greater level of demarcation of where green ended and blue began, for example.",IM_8plD4oKUVFqX2Yd,"Image A seemed to have fairly good level of demarcation as far as where black ended and blue began, for example. Image B was very similar to image A in that one color didn't blend too much into another. It was pretty clear to me what boundary was where for image C due to the brightness of the colors used.","As with the other schemes, I saw in image A a sort of line that became the middle point for each color portion as it separated from another portion. Image B was very similar to this but somehow it seemed like the boundary lines were more noticable. Compared to other image types found in image C, this color scheme seemed to blend together a bit more at the color boundaries but with this image I felt like I had a pretty good idea as to where the color boundary lie.",IM_0wDHFgSj2HjEFSZ,No,Male,34,Yes,42,5
155.97.94.143,3/2/17 12:18,R_2dsbWt1uoX4mBqa,9253e784-1b6f-42f1-8a68-9eee3409555f,Yes,I just looked for harsh lines. USually that happened when there was a transition in color or light to dark or vice versa,I personally noticed that there were certian colors that always look like they had harsh boundaries. One of them was yellow the other was light blue.,IM_dmqzlZWGwVQwPzv,Like I said previously I usually saw boundaries when it went from dark to light so on b I see a bundary between the green and dark blue.  same with C. But with A I see a boundary between the darkest part of A and then the blue and then the green to the yellow,For all of these ones I found that I always see a boundary between the light blue and yellow and dark blue,IM_0wDHFgSj2HjEFSZ,Yes,Female,20,Yes,42,5
155.97.94.143,3/2/17 12:43,R_2D8mJePdL1OqpxT,5aacce0e-9602-41a8-9e39-e3bf9d6955ba,Yes,"I assocaiated boudnries for black, dark gray,gray, light gray, and white.","At first, I kept it fairly general, with boundires that included most reds, most yellow, most greens, and most blues. As the trials went on though, I found myself being mor specific, and having more boundries. ",IM_8plD4oKUVFqX2Yd,"I did black, blue, green, yellow and white. ","Blues, greens, yellows, oranges, and reds ",IM_3NJMdI7ddeKcH9H,No,Female,21,Yes,42,5
155.97.94.143,3/2/17 13:14,R_Z3LrJLQP46gdaMN,4bcd0e0a-efd9-485b-aeed-2fd961b1f15f,Yes,"I saw distinct shades of white, gray, and black. And was able to seperate them into varying categories","The colors were easier to dicern. And the major colors were easy to seperate, but I tended to seperate shades as well into their own category with cases like cyan or orange",IM_8plD4oKUVFqX2Yd,I saw the different shades of color in distinct categories and was able to seperate them based on the level of brightness they had. But I did not always seperate the same amount of colors for all three cases,I was able to distinguish each color set easily from one another. It was clear which colors were which and where to seperate them,IM_3NJMdI7ddeKcH9H,No,Male,24,Yes,42,5
155.97.94.143,3/2/17 13:58,R_2S8C8owuJzyjkVE,c6df894b-3f10-42e0-b661-a51d4f37b767,Yes,I differentiated by looking for clear boundries first and then went into more suble boundries such as shades that related to objects rather than shades.,"I started out from the blue and went in toward the center, or warmer colors and indicated the obvious boundries then the suble changes.",IM_8plD4oKUVFqX2Yd,These boundries seems to be more obvious and had less boundries. They were easy to find and often didn't go into the more faded color differences.,These were less obvious. I often indicated more boundries when asked for a number but often didn't put in as many as said. The boundries were more of a faded and less clear manner.,IM_3NJMdI7ddeKcH9H,Yes,Male,22,Yes,42,5
155.97.94.70,3/2/17 15:27,R_1LckkkehV1OWJ1v,85434358-433b-4dcf-ac84-a87418eed8ef,Yes,"The ombre effect includes infinite colors as it blends from light into dark. As a photoshop user, even tiny adjustments in color make a big difference.",As colors blend they create many more colors.Its not simply green to blue; there are many shades of green with increasing amounts of blue to get me to a rich blue color.,IM_dmqzlZWGwVQwPzv,"This was the same, each color fades/blends into other colors before it changes to a rich solid hue of the dominant colors of white yelloe green black. i see violet, blue purple, teal, tourquise, sea foam green,peach, pink etc","The irregular image is harder as the colors don't stay in neat shapes, but it used the same method to identify boundaries, of course if i could get closer to the screen i would identify more colors. also as this point in the module. i was tired and wished that i had just said red, yellow, green, blue, the dominant colors, in the first place. haha",IM_0wDHFgSj2HjEFSZ,No,Female,34,Yes,42,5
155.97.94.143,3/3/17 10:56,R_1jdJTVFg9YMEXkV,c47869d4-cabe-40b9-89f4-74c76451dfe5,Yes,I did not distinguish shades by name.  Instead I simply started at the lightest color I could find and then worked backwards.  I looked for colors that seemed darker than the last color I had looked at and that is how I could distinguish color boundaries. ,"First I looked for the traditional rainbow colors (red, orange, yellow, etc.) and then based off of those basic colors I searched for different shades of that color in order to decide on where the color boundaries were.  ",IM_8plD4oKUVFqX2Yd,Because these were not colors that are commonly seen blended together I simply looked for differences in color.  In some ways I found it easier to distinguish between these color boundaries than when all the colors of the rainbow were displayed. ,First I distinguished the most obvious color changes that were brightest and easiest to see.  Then I searched for more subtle changes in color and defined those when I noticed them.,IM_3NJMdI7ddeKcH9H,Yes,Female,18,Yes,42,5
155.97.94.143,3/3/17 12:21,R_1K8chpOrxkRj184,7b110413-ed00-4065-a4b4-c0fea51afaec,Yes,"B had more clear color boundaries compared to A and C. I associated boundaries with light and dark for B and C. With A, I associated boundaries with clear colors such as red, green and blue.","For A and B, I would associate color boundaries with same color. For C, I also associated boundaries with same colors but also I set boundaries for same colors with different level of darkness.",IM_8plD4oKUVFqX2Yd,"I specialized categories such as blue, green, violet, yellow and white.","I specialized categories by dark blue, blue, lighter blue, green, yellow, and dark red. For B, I thought that there is darker blue inside the blue color, so I also set a boundary for that.",IM_3NJMdI7ddeKcH9H,No,Female,21,No,42,5
155.97.94.143,3/3/17 13:07,R_3iWpl3QDcHbbDiS,599f53e2-5dc5-4fd2-a71b-544b2d1f0a3a,Yes,"In image A, I would look at the image from left to right, then right to left and dragged the mouse over it in order to determine where the color boundaries were.  In image B, I would start from the middle and work outwards determining where the boundaries were from there.  In image C, I took a look at the lighter spots and worked outward and then I reversed the process from looking at the outer rim and then slowly working towards the lighter spots again.","For these images, I included the colors that were fading into other colors as well as the definite colors such as red, yellow, green, and blue. The cyan and yellow seem to be independent colors as well as boundaries for fading colors.",IM_8plD4oKUVFqX2Yd,"Again, I dragged my mouse over the image in order to determine where the boundaries were. I took a look at where the basic colors separated and then took a look to see if there were any color boundaries within those colors.","In image A, the color separation is very definite. In image B and C, the color separation seems to be similar. I looked at image A from left to right, left from right to left. In image B, I worked from the inside out, then the outside in. In image C, I started with the Darker points from within the red and worked my way out, then from out to in. Image B in particular seems to have rings around the different color boundaries and within those boundaries, a slight fade in color which also acted as other different color boundaries.",IM_0wDHFgSj2HjEFSZ,No,Male,21,Yes,42,5
